@relation czysty-cut
@attribute X1 real
@attribute X2 real
@attribute LABEL {MIN1, MIN2, MAJ}
@data
211.533360071,208.767026272,MIN1
189.536702486,77.4191744963,MIN1
181.784628323,148.697859315,MIN1
178.074623032,-7.81941006413,MIN1
222.067938202,254.876293488,MIN1
84.7863589183,39.7690432603,MIN1
299.455095495,67.55018252,MIN1
112.878567268,162.727089169,MIN1
321.45175308,198.898034296,MIN1
89.9544083599,-7.750079952,MIN1
111.951065945,123.597771824,MIN1
338.81090405,134.599299349,MIN1
36.949454125,146.016807546,MIN1
245.522639937,182.187752673,MIN1
247.90818541,17.2806774265,MIN1
218.540188429,72.8544750353,MIN1
240.536846014,204.202326811,MIN1
121.541919024,-36.0743410191,MIN1
165.535234194,226.621362533,MIN1
143.538576609,95.273510757,MIN1
19.0219049594,64.6264394293,MIN1
227.595090771,100.797384557,MIN1
169.025128599,19.788367986,MIN1
75.7368644857,67.3768213105,MIN1
302.596702591,78.3783488349,MIN1
116.020174364,173.555255484,MIN1
324.593360176,209.726200611,MIN1
150.936955553,186.105299229,MIN1
128.940297968,54.757447453,MIN1
300.940179193,141.267227786,MIN1
207.65191508,188.85568111,MIN1
203.941909788,32.3384117313,MIN1
53.0111848256,38.0471658299,MIN1
285.966573696,40.6588874868,MIN1
99.3900454687,135.835794136,MIN1
307.963231281,172.006739263,MIN1
134.10834741,7.23832424069,MIN1
156.105004995,138.586176017,MIN1
188.802272501,123.88668322,MIN1
237.890266817,217.946508918,MIN1
100.608687534,2.83925869062,MIN1
272.608568758,89.3490390234,MIN1
86.0320405315,184.525945672,MIN1
294.605226343,220.6968908,MIN1
161.961153674,201.236227295,MIN1
139.964496089,69.8883755192,MIN1
52.7717827404,109.087022976,MIN1
261.344968552,145.257968103,MIN1
202.77500638,64.2489515328,MIN1
23.0230509929,49.0178560184,MIN1
249.882889098,60.0193835429,MIN1
63.3063608714,155.196290192,MIN1
271.879546683,191.367235319,MIN1
202.973485628,205.396465173,MIN1
180.976828043,74.048613397,MIN1
352.976709268,160.55839373,MIN1
202.045984305,166.267147828,MIN1
198.335979014,9.74987844947,MIN1
242.329294184,272.445582002,MIN1
105.0477149,57.3383317739,MIN1
147.362875034,160.720163991,MIN1
114.39222425,213.676480399,MIN1
92.3955666645,82.3286286224,MIN1
319.25540477,93.3301561469,MIN1
17.3939548446,104.747664344,MIN1
225.967140657,140.918609471,MIN1
210.066033836,1.18095182763,MIN1
254.059349006,263.87665538,MIN1
59.1353088734,6.88970592623,MIN1
231.135190098,93.399486259,MIN1
253.131847683,224.747338035,MIN1
134.136920693,-15.5293297954,MIN1
178.130235863,247.166373757,MIN1
156.133578278,115.818521981,MIN1
209.337011761,103.199148123,MIN1
150.767049589,22.1901315527,MIN1
57.4787854754,69.7785848771,MIN1
284.338623581,80.7801124016,MIN1
97.7620953539,175.95701905,MIN1
306.335281166,212.127964178,MIN1
