@relation czysty-cut
@attribute X1 real
@attribute X2 real
@attribute LABEL {MIN1, MIN2, MAJ}
@data
-15.8252542716,-14.7392786547,MIN1
280.366733603,-14.1001877454,MIN1
85.1084755335,-51.5845425219,MIN1
130.366956936,294.434889937,MIN1
191.010137749,-44.2285302397,MIN1
236.268619151,301.790902219,MIN1
41.0103610815,264.306547442,MIN1
84.0308429961,243.373220301,MIN1
-28.5020832697,92.0272144641,MIN1
-27.9549935597,40.2351615773,MIN1
19.4918466828,179.086382488,MIN1
167.292233255,-49.8629216789,MIN1
212.550714658,296.15651078,MIN1
321.187825423,44.5522586277,MIN1
343.817066124,217.561974857,MIN1
53.1180378593,-45.8327688551,MIN1
98.3765192619,300.186663603,MIN1
369.181755376,131.611426652,MIN1
-22.4289401843,160.226822873,MIN1
256.64882911,-19.7345791846,MIN1
-2.86660697725,-51.7149696924,MIN1
95.3096117677,-84.7648451909,MIN1
-41.0996811758,51.9473908997,MIN1
325.693414843,57.4904899971,MIN1
348.322655544,230.500206226,MIN1
305.832716457,8.26782343194,MIN1
155.832939789,316.802901114,MIN1
31.1702742355,220.431335509,MIN1
299.787151509,259.024310105,MIN1
-8.55112253658,121.986002379,MIN1
-44.4097975735,43.7436131388,MIN1
3.03704266905,182.59483405,MIN1
378.102671868,176.751768041,MIN1
71.4712301909,243.912856505,MIN1
342.276466305,75.3376195534,MIN1
-49.3342292554,103.953015774,MIN1
216.048299492,15.0466333949,MIN1
36.2963441051,-0.184462119455,MIN1
208.29622533,86.3253182133,MIN1
230.292882915,217.673169989,MIN1
111.297955925,-22.6034978411,MIN1
155.291271095,240.092205711,MIN1
133.29461351,108.744353935,MIN1
6.74609160542,80.8938845632,MIN1
215.319277417,117.06482969,MIN1
156.749315245,36.0558131199,MIN1
63.4610511318,83.6442664443,MIN1
290.320889237,94.6457939688,MIN1
103.74436101,189.822700618,MIN1
312.317546822,225.993645745,MIN1
136.009155093,160.566238899,MIN1
114.012497508,29.2183871225,MIN1
286.012378733,115.728167455,MIN1
192.724114619,163.31662078,MIN1
189.014109328,6.79935140082,MIN1
233.007424498,269.495054953,MIN1
38.083384365,12.5081054994,MIN1
252.752120941,40.2892447591,MIN1
66.1755927145,135.466151408,MIN1
274.748778526,171.637096535,MIN1
100.893894656,6.86868151294,MIN1
