@relation czysty-cut
@attribute X1 real
@attribute X2 real
@attribute LABEL {MIN1, MIN2, MAJ}
@data
191.846934547,-31.1828504403,MIN1
236.34631621,264.842344674,MIN1
86.6764487648,24.253569881,MIN1
342.488256931,29.4321615859,MIN1
364.737947762,177.444759143,MIN1
109.559929625,-51.9020068904,MIN1
154.059311288,244.123188224,MIN1
385.299314045,104.485298893,MIN1
47.5381658662,122.781962299,MIN1
264.845481162,2.32077209378,MIN1
64.1098629191,-11.674940512,MIN1
148.381317509,-38.3463121444,MIN1
192.880699172,257.67888297,MIN1
29.6158091744,80.4612188644,MIN1
346.477926161,90.9296041468,MIN1
136.136954596,201.802444789,MIN1
368.727616992,238.942201704,MIN1
350.794875353,118.482208906,MIN1
244.273729931,-2.85901701875,MIN1
288.773111595,293.166178096,MIN1
75.3931558419,6.28931468452,MIN1
314.950161969,33.8407220363,MIN1
145.73192297,-1.20535782197,MIN1
226.35137324,-45.1797604537,MIN1
270.850754903,250.845434661,MIN1
101.632515903,215.799354803,MIN1
334.2231783,252.939111718,MIN1
186.241635403,233.322394732,MIN1
33.6989943034,13.434841447,MIN1
287.188687893,21.8095496729,MIN1
76.8477163276,132.682390315,MIN1
379.777145852,162.327474724,MIN1
209.545912124,-5.30183981924,MIN1
254.045293787,290.723355296,MIN1
364.831463661,48.920939165,MIN1
387.081154493,196.933536722,MIN1
193.751658214,65.1503753189,MIN1
328.166101865,135.340007732,MIN1
98.1040484478,132.999205511,MIN1
258.64228109,167.232527063,MIN1
250.213584494,51.2360114188,MIN1
101.052153335,25.268419977,MIN1
265.944350809,53.5090230523,MIN1
126.896709258,117.294061714,MIN1
287.434941901,151.527383266,MIN1
148.806149951,23.3394930305,MIN1
191.787332135,219.376213458,MIN1
170.296741043,121.357853244,MIN1
228.865841472,136.442618255,MIN1
224.791109707,14.453384134,MIN1
267.772291891,210.490104561,MIN1
155.267288932,46.3459034647,MIN1
289.681732583,116.535535878,MIN1
150.634091033,180.320574539,MIN1
311.172323675,214.553896092,MIN1
186.449588495,178.87387933,MIN1
164.958997403,80.855519116,MIN1
109.948392734,92.7723101905,MIN1
270.486625376,127.005631743,MIN1
222.872245294,64.9435823902,MIN1
107.841218585,63.7731812795,MIN1
281.441345723,80.0283474011,MIN1
142.393704172,143.813386063,MIN1
302.931936815,178.046707615,MIN1
194.780898687,7.90978804137,MIN1
237.762080871,203.946508469,MIN1
216.271489779,105.928148255,MIN1
195.83610153,146.017324171,MIN1
187.407404934,30.0208085271,MIN1
230.388587117,226.057528954,MIN1
117.883584158,61.9133278578,MIN1
295.837676128,72.1757755026,MIN1
156.790034577,135.960814164,MIN1
317.32826722,170.194135716,MIN1
133.192269336,8.94332503935,MIN1
176.17345152,204.980045467,MIN1
154.682860428,106.961685253,MIN1
328.282987566,123.216851375,MIN1
98.2209341485,120.876049153,MIN1
258.759166791,155.109370705,MIN1
256.135756637,31.1225637587,MIN1
299.116938821,227.159284186,MIN1
118.351126961,13.4207024272,MIN1
252.765570613,83.6103348405,MIN1
113.717929062,147.395373502,MIN1
274.256161705,181.628695054,MIN1
174.813053241,-0.493661472943,MIN1
217.794235425,195.543058954,MIN1
196.303644333,97.5246987407,MIN1
85.6265824559,90.361579153,MIN1
246.164815098,124.594900705,MIN1
198.550435016,62.5328513528,MIN1
129.02661424,94.4253706835,MIN1
302.626741378,110.680536805,MIN1
163.579099828,174.465575467,MIN1
324.11733247,208.698897019,MIN1
192.371760638,158.760431669,MIN1
170.881169546,60.7420714559,MIN1
305.295613198,130.931703869,MIN1
235.771792423,162.8242232,MIN1
227.343095826,46.8277075557,MIN1
112.312069117,45.657306445,MIN1
153.368625626,116.745425602,MIN1
313.906858269,150.978747154,MIN1
175.278066319,22.7908569189,MIN1
218.259248503,218.827577346,MIN1
196.768657411,120.809217133,MIN1
232.584154873,119.362521923,MIN1
215.447528613,15.3514432322,MIN1
258.428710797,211.388163659,MIN1
145.923707838,47.2439625629,MIN1
280.338151489,117.433594976,MIN1
141.290509939,181.218633638,MIN1
301.828742581,215.45195519,MIN1
156.878428184,0.266678221335,MIN1
199.859610368,196.303398649,MIN1
178.369019276,98.2850384349,MIN1
126.261057828,106.206683858,MIN1
286.79929047,140.44000541,MIN1
239.184910387,78.3779560579,MIN1
-162.662899252,179.491225041,MAJ
267.337100748,-107.175441625,MAJ
-270.162899252,-202.730997181,MAJ
